mode,load,0_alexnet-8,1_mobilenet_v3_large-8,2_vgg16-2
mps-uncap,0.8,1.931905746459961,5.263328552246094,3.7343502044677734
mps-uncap,0.9,2.985715866088867,8.975744247436523,6.093502044677734
mps-uncap,1.0,6.6345930099487305,42.28353500366211,17.64965057373047
mps-uncap,0.5,1.4545917510986328,6.672024726867676,2.740025520324707
mps-uncap,0.6,1.5463829040527344,5.805253982543945,2.939939498901367
mps-uncap,0.7,1.664876937866211,5.35893440246582,3.302931785583496
mps-uncap,0.1,1.3314485549926758,7.249593734741211,2.2242069244384766
mps-uncap,0.2,1.276254653930664,7.239580154418945,2.2292137145996094
mps-uncap,0.3,1.283884048461914,7.216811180114746,2.3660659790039062
mps-uncap,0.4,1.4195442199707031,7.201075553894043,2.5604963302612305
