mode,load,0_alexnet-8,1_mobilenet_v3_large-8,2_vgg16-2
mps-uncap,0.8,2.1371841430664062,5.801258087158203,3.8177299499511723
mps-uncap,0.9,2.1789073944091797,6.529073715209961,4.056377410888672
mps-uncap,1.0,2.190828323364258,6.631097793579102,4.094033241271972
mps-uncap,0.5,2.007279396057129,7.5905680656433105,3.638238906860351
mps-uncap,0.6,2.0160341262817374,6.988375186920166,3.658316135406494
mps-uncap,0.7,2.006833553314209,6.652307510375978,3.7442469596862793
mps-uncap,0.1,1.6552472114562982,8.407707214355469,2.878861427307129
mps-uncap,0.2,1.7049145698547363,7.9323887825012225,3.105461597442627
mps-uncap,0.3,1.7769384384155273,7.886300086975098,3.3388185501098633
mps-uncap,0.4,1.9509077072143548,7.850613594055174,3.5889005661010738
