mode,load,0_alexnet-8,1_mobilenet_v3_large-8,2_vgg16-2
mps-uncap,0.8,0.9796619415283203,2.807140350341797,1.943349838256836
mps-uncap,0.9,1.0066032409667969,2.785921096801758,1.9457340240478516
mps-uncap,1.0,0.9918212890625,2.813100814819336,1.9381046295166016
mps-uncap,0.5,0.9970664978027344,2.8514862060546875,1.940011978149414
mps-uncap,0.6,0.9813308715820312,2.874135971069336,1.9443035125732422
mps-uncap,0.7,0.9806156158447266,2.796649932861328,1.9462108612060547
mps-uncap,0.1,0.9818077087402344,2.832651138305664,1.951456069946289
mps-uncap,0.2,0.9832382202148438,2.819061279296875,1.9402503967285156
mps-uncap,0.3,0.9799003601074219,2.819538116455078,1.9326210021972656
mps-uncap,0.4,1.0068416595458984,2.788066864013672,1.9412040710449219
