mode,load,0_alexnet-8,1_mobilenet_v3_large-8,2_vgg16-2
mps-uncap,0.8,2.7480125427246094,6.805658340454102,4.436731338500977
mps-uncap,0.9,3.1006336212158203,7.064342498779297,4.739999771118164
mps-uncap,1.0,3.1070709228515625,7.395505905151367,5.25355339050293
mps-uncap,0.5,2.4538040161132812,8.393287658691406,4.2171478271484375
mps-uncap,0.6,2.5823116302490234,8.893728256225586,4.542112350463867
mps-uncap,0.7,2.9439926147460938,7.95745849609375,5.136728286743164
mps-uncap,0.1,1.9545555114746094,9.257793426513672,3.5448074340820312
mps-uncap,0.2,2.107858657836914,8.481502532958984,3.7093162536621094
mps-uncap,0.3,2.519369125366211,10.6353759765625,3.874063491821289
mps-uncap,0.4,2.5281906127929688,8.733749389648438,4.04667854309082
