mode,load,0_alexnet-8,1_mobilenet_v3_large-8,2_vgg16-2
mps-uncap,0.8,9.56908226013184,22.079658508300806,16.88403129577637
mps-uncap,0.9,15.017366409301749,53.61433029174805,53.74196529388428
mps-uncap,1.0,63.49783897399904,314.83918190002447,117.56902694702143
mps-uncap,0.5,4.36779260635376,21.24108076095578,8.316719532012932
mps-uncap,0.6,5.419287681579578,19.162001609802246,9.190392494201662
mps-uncap,0.7,6.90128087997437,21.30513191223153,12.009501457214359
mps-uncap,0.1,2.220673561096188,14.68332290649414,4.063353538513184
mps-uncap,0.2,2.732217311859136,17.138051986694336,4.612088203430176
mps-uncap,0.3,2.9063796997070326,18.919508457183852,5.421767234802232
mps-uncap,0.4,3.709979057312001,21.125471591949374,7.02193260192871
