mode,load,0_alexnet-8,1_mobilenet_v3_large-8,2_vgg16-2
mps-uncap,0.8,1.4641284942626953,3.9873123168945312,2.855539321899414
mps-uncap,0.9,1.6336441040039062,4.74095344543457,3.2110214233398438
mps-uncap,1.0,1.7235279083251953,5.551338195800781,3.5178661346435547
mps-uncap,0.5,1.2645721435546875,5.009651184082031,2.398252487182617
mps-uncap,0.6,1.2483596801757812,4.75764274597168,2.5184154510498047
mps-uncap,0.7,1.3473033905029297,4.259347915649414,2.633810043334961
mps-uncap,0.1,1.272439956665039,7.106542587280273,2.1615028381347656
mps-uncap,0.2,1.215219497680664,6.951570510864258,2.1512508392333984
mps-uncap,0.3,1.2118816375732422,6.850719451904297,2.2249221801757812
mps-uncap,0.4,1.2927055358886719,6.480097770690918,2.3040771484375
