mode,load,0_alexnet-8,1_mobilenet_v3_large-8,2_vgg16-2
mps-uncap,0.8,0.007152557373046875,0.009298324584960938,0.00762939453125
mps-uncap,0.9,0.0073909759521484375,0.009059906005859375,0.008344650268554688
mps-uncap,1.0,0.00762939453125,0.010013580322265625,0.00858306884765625
mps-uncap,0.5,0.00762939453125,0.01049041748046875,0.00858306884765625
mps-uncap,0.6,0.008344650268554688,0.01049041748046875,0.0095367431640625
mps-uncap,0.7,0.008344650268554688,0.009775161743164062,0.009059906005859375
mps-uncap,0.1,0.009298324584960938,0.01239776611328125,0.010728836059570312
mps-uncap,0.2,0.008344650268554688,0.010728836059570312,0.010251998901367188
mps-uncap,0.3,0.009298324584960938,0.0095367431640625,0.01049041748046875
mps-uncap,0.4,0.007867813110351562,0.010728836059570312,0.010013580322265625
