mode,load,0_alexnet-8,1_mobilenet_v3_large-8,2_vgg16-2
mps-uncap,0.8,0.9675025939941406,2.759695053100586,1.924753189086914
mps-uncap,0.9,0.9949207305908203,2.755403518676758,1.928091049194336
mps-uncap,1.0,0.9760856628417969,2.7093887329101562,1.9288063049316406
mps-uncap,0.5,0.9872913360595703,2.811908721923828,1.9273757934570312
mps-uncap,0.6,0.9667873382568359,2.814054489135742,1.9299983978271484
mps-uncap,0.7,0.9677410125732422,2.7484893798828125,1.9249916076660156
mps-uncap,0.1,0.9677410125732422,2.7625560760498047,1.9404888153076172
mps-uncap,0.2,0.9696483612060547,2.8083324432373047,1.9233226776123047
mps-uncap,0.3,0.9691715240478516,2.772092819213867,1.9199848175048828
mps-uncap,0.4,0.9918212890625,2.7358531951904297,1.9221305847167969
