mode,load,0_alexnet-8,1_mobilenet_v3_large-8,2_vgg16-2
mps-uncap,0.8,0.47659873962402344,1.0700225830078125,0.9148120880126953
mps-uncap,0.9,1.3720989227294922,4.334926605224609,2.9408931732177734
mps-uncap,1.0,4.917383193969727,37.05644607543945,14.269828796386719
mps-uncap,0.5,0.03886222839355469,0.04553794860839844,0.041484832763671875
mps-uncap,0.6,0.039577484130859375,0.05340576171875,0.04172325134277344
mps-uncap,0.7,0.04553794860839844,0.4343986511230469,0.05936622619628906
mps-uncap,0.1,0.04458427429199219,0.05364418029785156,0.048160552978515625
mps-uncap,0.2,0.040531158447265625,0.048995018005371094,0.044345855712890625
mps-uncap,0.3,0.04029273986816406,0.04887580871582031,0.0457763671875
mps-uncap,0.4,0.04100799560546875,0.04863739013671875,0.04553794860839844
