mode,load,0_alexnet-8,1_mobilenet_v3_large-8,2_vgg16-2
mps-uncap,0.8,24.65057373046875,35.22515296936035,35.38036346435547
mps-uncap,0.9,24.861574172973633,85.69622039794922,83.69708061218262
mps-uncap,1.0,77.2557258605957,364.1173839569092,152.7419090270996
mps-uncap,0.5,7.899999618530273,31.83436393737793,15.236139297485352
mps-uncap,0.6,10.883331298828125,30.916929244995117,14.807701110839844
mps-uncap,0.7,15.136480331420898,36.65614128112793,18.80955696105957
mps-uncap,0.1,3.3843517303466797,19.394636154174805,5.641460418701172
mps-uncap,0.2,5.2337646484375,23.32615852355957,6.535530090332031
mps-uncap,0.3,4.741907119750977,28.629064559936523,8.558273315429688
mps-uncap,0.4,6.659030914306641,35.67004203796387,11.709928512573242
