mode,load,0_alexnet-8,1_mobilenet_v3_large-8,2_vgg16-2
mps-uncap,0.8,1.8451213836669922,5.139541625976563,3.5026073455810547
mps-uncap,0.9,1.9230842590332031,5.992317199707031,3.7489414215087886
mps-uncap,1.0,1.9710063934326172,6.190347671508789,3.8040637969970703
mps-uncap,0.5,1.6917467117309573,6.821036338806152,3.1533241271972656
mps-uncap,0.6,1.7066001892089844,6.007075309753418,3.2197952270507812
mps-uncap,0.7,1.7282962799072266,5.42449951171875,3.41036319732666
mps-uncap,0.1,1.4625310897827146,8.016681671142578,2.4507045745849614
mps-uncap,0.2,1.4599084854125977,7.473230361938477,2.639889717102051
mps-uncap,0.3,1.5049219131469727,7.352757453918457,2.789449691772461
mps-uncap,0.4,1.644134521484375,7.294583320617676,3.02734375
