mode,load,0_efficientnet_b7-16,1_densenet201-2,2_squeezenet1_0-4
mps-uncap,0.6,71.58012390136714,130.24934768676758,16.27889871597291
mig,0.6,228.2626223564148,91.8748903274536,17.715158462524393
mps-uncap,0.7,88.4891629219054,196.2942647933958,37.722043991088874
mig,0.7,390.61830520629866,137.5057983398437,18.06718826293945
mps-uncap,0.8,117.79342651367188,1996.2797904014578,39.600968360900765
mig,0.8,432.87728309631245,233.87511491775527,33.96546363830563
mps-uncap,0.9,135.4433250427245,10790.896427631376,124.65214729309108
mig,0.9,998.5474109649651,382.9295897483826,57.51733064651489
mps-uncap,1.0,195.6573104858401,14586.765162944794,1443.346166610717
mig,1.0,2362.1602630615234,2024.5377802848816,2196.6118717193604
mps-uncap,1.1,228.99409055709842,28799.887800216675,4389.386911392213
mig,1.1,9383.445513248447,9752.329602241516,8579.931631088257
mps-uncap,1.2,366.9805264472962,29990.800080299377,23256.140432357788
mig,1.2,12730.785570144652,15802.199816703795,14137.139871120453
mps-uncap,1.3,452.9288005828857,44674.72014427184,23996.419277191162
mig,1.3,24526.68309211731,20722.408523559574,21512.983467578888
