mode,load,0_efficientnet_b7-16,1_densenet201-2,2_squeezenet1_0-4
mps-uncap,0.6,90.42596817016602,174.82781410217285,33.71787071228027
mig,0.6,304.3100833892822,155.6723117828369,38.64693641662598
mps-uncap,0.7,123.6879825592041,264.9195194244385,58.929443359375
mig,0.7,488.7218475341797,205.5337429046631,28.446674346923828
mps-uncap,0.8,161.31186485290527,2130.120038986206,66.91312789916992
mig,0.8,657.2835445404053,295.5896854400635,53.8487434387207
mps-uncap,0.9,191.81180000305176,11069.509506225586,174.47710037231445
mig,0.9,1105.8201789855957,472.6400375366211,89.79058265686035
mps-uncap,1.0,272.3369598388672,14849.123477935791,1541.2771701812744
mig,1.0,2474.8752117156982,2141.998767852783,2250.0619888305664
mps-uncap,1.1,358.03937911987305,29214.654445648193,4581.71820640564
mig,1.1,9657.207489013672,9816.152572631836,8748.78978729248
mps-uncap,1.2,463.23132514953613,30255.34200668335,23498.817205429077
mig,1.2,13090.267658233643,16117.12908744812,14337.684869766235
mps-uncap,1.3,512.4685764312744,45173.352003097534,24269.39082145691
mig,1.3,24680.532932281494,20906.27360343933,21756.27088546753
