mode,load,0_efficientnet_b7-16,1_densenet201-2,2_squeezenet1_0-4
mps-uncap,0.6,29.944658279418945,20.40410041809082,1.7206668853759766
mig,0.6,57.763099670410156,20.354270935058594,2.6624202728271484
mps-uncap,0.7,30.133485794067383,20.77484130859375,1.7158985137939453
mig,0.7,57.84130096435547,20.399093627929688,2.6612281799316406
mps-uncap,0.8,31.35538101196289,20.72882652282715,1.7485618591308594
mig,0.8,57.807207107543945,20.426511764526367,2.660989761352539
mps-uncap,0.9,33.45155715942383,20.29895782470703,1.7337799072265625
mig,0.9,57.78813362121582,20.383834838867188,2.6574134826660156
mps-uncap,1.0,30.28702735900879,20.717620849609375,1.7077922821044922
mig,1.0,57.81221389770508,20.462512969970703,2.663135528564453
mps-uncap,1.1,27.930498123168945,20.525693893432617,1.7464160919189453
mig,1.1,57.805538177490234,20.645618438720703,2.6612281799316406
mps-uncap,1.2,35.96973419189453,20.86043357849121,1.7096996307373047
mig,1.2,57.8312873840332,20.535945892333984,2.6650428771972656
mps-uncap,1.3,35.703420639038086,20.909547805786133,1.7521381378173828
mig,1.3,57.78980255126953,20.43008804321289,2.665281295776367
