mode,load,0_efficientnet_b7-16,1_densenet201-2,2_squeezenet1_0-4
mps-uncap,0.6,44.21234130859375,39.586544036865234,15.122652053833008
mig,0.6,69.54669952392578,24.524688720703125,14.51730728149414
mps-uncap,0.7,42.52195358276367,30.478715896606445,11.441230773925781
mig,0.7,66.82944297790527,30.312538146972656,16.12067222595215
mps-uncap,0.8,45.62258720397949,40.89045524597168,13.066530227661133
mig,0.8,70.64533233642578,30.484437942504883,15.004396438598633
mps-uncap,0.9,45.873165130615234,40.70568084716797,11.020660400390625
mig,0.9,71.3357925415039,28.79929542541504,17.02094078063965
mps-uncap,1.0,45.026540756225586,33.31899642944336,11.257171630859375
mig,1.0,70.72901725769043,32.294273376464844,17.53067970275879
mps-uncap,1.1,50.508737564086914,41.9459342956543,12.35818862915039
mig,1.1,73.68087768554688,32.111406326293945,12.520790100097656
mps-uncap,1.2,49.498796463012695,39.710044860839844,17.36164093017578
mig,1.2,69.18454170227051,24.25384521484375,15.561580657958984
mps-uncap,1.3,51.02682113647461,41.44573211669922,16.62921905517578
mig,1.3,72.47567176818848,31.083106994628906,17.842531204223633
