mode,load,0_efficientnet_b7-16,1_densenet201-2,2_squeezenet1_0-4
mps-uncap,0.6,36.61632537841797,21.281838417053223,2.1142959594726562
mig,0.6,59.67068672180176,21.05712890625,2.986431121826172
mps-uncap,0.7,36.986470222473145,21.63243293762207,1.9788742065429688
mig,0.7,59.60679054260254,21.056175231933594,2.9785633087158203
mps-uncap,0.8,37.44220733642578,21.630406379699707,2.0494461059570312
mig,0.8,59.393882751464844,20.975351333618164,2.804279327392578
mps-uncap,0.9,37.52923011779785,21.410703659057617,2.043485641479492
mig,0.9,58.87901782989502,20.8817720413208,2.7496814727783203
mps-uncap,1.0,36.9950532913208,23.133039474487305,1.8875598907470703
mig,1.0,58.58314037322998,20.761847496032715,2.7456283569335938
mps-uncap,1.1,37.60850429534912,29.32572364807129,2.3441314697265625
mig,1.1,58.30395221710205,20.94268798828125,2.743959426879883
mps-uncap,1.2,37.0105504989624,26.95941925048828,3.113269805908203
mig,1.2,58.216214179992676,20.78723907470703,2.744436264038086
mps-uncap,1.3,37.67538070678711,32.209157943725586,2.7818679809570312
mig,1.3,59.44371223449707,20.924806594848633,2.9764175415039062
