mode,load,0_efficientnet_b7-16,1_densenet201-2,2_squeezenet1_0-4
mps-uncap,0.6,109.41152572631822,156.0407161712647,19.356679916381854
mig,0.6,287.18860864639277,112.50362396240233,20.75580596923828
mps-uncap,0.7,126.2972354888916,220.21235466003415,40.81273078918458
mig,0.7,450.0908327102658,158.74322891235352,21.096997261047363
mps-uncap,0.8,154.96447563171387,2023.197271823883,42.82920360565133
mig,0.8,491.5266847610467,255.09341001510631,36.91088676452632
mps-uncap,0.9,172.9442644119261,10818.911130428314,127.77503967285165
mig,0.9,1056.7359828948968,403.6841893196107,60.40375471115113
mps-uncap,1.0,232.50041961669953,14611.5269780159,1446.2634515762327
mig,1.0,2421.890037059784,2045.3518152236936,2199.672727584839
mps-uncap,1.1,266.71568155288696,28833.062291145325,4392.617869377136
mig,1.1,9442.984008789064,9773.234357833862,8582.722797393799
mps-uncap,1.2,404.1223359107972,30016.489233970642,23258.926858901978
mig,1.2,12788.827385902403,15823.08564186096,14139.886572360992
mps-uncap,1.3,490.7664489746093,44708.43663215637,24000.20269393921
mig,1.3,24586.704921722412,20743.441009521488,21515.975906848907
