mode,load,0_efficientnet_b7-16,1_densenet201-2,2_squeezenet1_0-4
mps-uncap,0.6,30.00926971435547,20.5380916595459,1.7485618591308594
mig,0.6,57.778358459472656,20.433425903320312,2.6803016662597656
mps-uncap,0.7,31.250715255737305,20.873546600341797,1.7437934875488281
mig,0.7,57.93452262878418,20.50042152404785,2.681732177734375
mps-uncap,0.8,31.37516975402832,21.039962768554688,1.7762184143066406
mig,0.8,57.83390998840332,20.504236221313477,2.6807785034179688
mps-uncap,0.9,33.95819664001465,30.832290649414062,1.7690658569335938
mig,0.9,57.9218864440918,20.572662353515625,2.6874542236328125
mps-uncap,1.0,35.067081451416016,25.768041610717773,1.7514228820800781
mig,1.0,58.37130546569824,20.749330520629883,2.687692642211914
mps-uncap,1.1,33.61010551452637,21.077394485473633,1.798868179321289
mig,1.1,58.17675590515137,21.334171295166016,3.0219554901123047
mps-uncap,1.2,35.988807678222656,22.97210693359375,2.858400344848633
mig,1.2,58.1059455871582,21.36516571044922,2.746105194091797
mps-uncap,1.3,36.226511001586914,33.22267532348633,1.8067359924316406
mig,1.3,58.21514129638672,22.164344787597656,2.7375221252441406
