mode,load,0_efficientnet_b7-16,1_densenet201-2,2_squeezenet1_0-4
mps-uncap,0.6,160.0545063558332,59.94720889734078,851.7846598049322
mig,0.6,164.43208721206267,56.92995704435012,853.7717533029914
mps-uncap,0.7,185.43788536276043,67.74188560987402,987.1796558052996
mig,0.7,196.538798328502,67.63581881884393,983.691594303879
mps-uncap,0.8,213.94086277491382,78.56560746032375,1114.3227567561619
mig,0.8,212.56350448922484,79.23602557773604,1132.902452523272
mps-uncap,0.9,232.86109969340933,78.04051479855421,1277.6506270202945
mig,0.9,249.7400697999928,88.13079197328787,1281.347246445869
mps-uncap,1.0,264.92327838892805,81.5353235210282,1412.1786423215444
mig,1.0,269.91486715931785,95.23323683514684,1398.2690722990624
mps-uncap,1.1,286.49541061973747,72.84539058575344,1468.6343072472464
mig,1.1,271.1760786782817,94.94085975356808,1409.2526634658386
mps-uncap,1.2,338.0490698434879,77.47822898302263,1238.755771787894
mig,1.2,272.59898008147997,95.71252185151442,1418.1174845607522
mps-uncap,1.3,349.9655860801062,67.28429444354342,1311.598970234882
mig,1.3,270.3341609576446,95.65320580849226,1373.7650650303158
