mode,load,0_efficientnet_b7-16,1_densenet201-2,2_squeezenet1_0-4
mps-uncap,0.6,39.049625396728516,43.49327087402344,3.143906593322754
mig,0.6,79.64491844177246,29.31380271911621,4.472017288208008
mps-uncap,0.7,40.25983810424805,52.04129219055176,4.272699356079102
mig,0.7,110.51750183105469,38.09309005737305,5.23221492767334
mps-uncap,0.8,41.8698787689209,881.1606168746948,5.131006240844727
mig,0.8,129.08673286437988,53.93517017364502,7.416963577270508
mps-uncap,0.9,43.35808753967285,5255.224227905273,10.386109352111816
mig,0.9,276.6721248626709,99.46346282958984,14.099836349487305
mps-uncap,1.0,57.0523738861084,6891.458034515381,167.55127906799316
mig,1.0,1107.5525283813477,943.9468383789062,948.5880136489868
mps-uncap,1.1,65.52767753601074,14029.221296310425,1970.132827758789
mig,1.1,3354.296922683716,5328.269481658936,4132.5883865356445
mps-uncap,1.2,83.0223560333252,15821.661233901978,10871.072769165039
mig,1.2,7141.175150871277,7357.959747314453,6933.338403701782
mps-uncap,1.3,102.64062881469727,22974.910020828247,13027.239799499512
mig,1.3,13076.739311218262,10883.804559707642,9267.550110816956
