mode,load,0_efficientnet_b7-16,1_densenet201-2,2_squeezenet1_0-4
mps-uncap,0.6,72.90220260620117,95.83215713500975,9.795188903808594
mig,0.6,170.23303508758548,64.65601921081543,10.652017593383793
mps-uncap,0.7,79.39064502716064,134.62615013122561,21.200799942016594
mig,0.7,251.35221481323245,87.64162063598634,12.36433982849121
mps-uncap,0.8,90.78106880187988,1559.336805343628,19.90044116973877
mig,0.8,327.78096199035645,141.5890216827393,19.9512004852295
mps-uncap,0.9,101.91192626953124,9685.821652412415,44.20440196990971
mig,0.9,747.8557109832764,262.04574108123785,38.48123550415039
mps-uncap,1.0,129.75437641143807,13235.679411888123,682.1851491928105
mig,1.0,1674.1119146347046,1655.4422855377195,2122.9832887649536
mps-uncap,1.1,158.21959972381592,25633.118963241577,3757.443237304688
mig,1.1,8311.261892318726,8833.456707000732,7931.986331939698
mps-uncap,1.2,220.15178203582767,28158.31093788147,20769.399118423462
mig,1.2,11634.762048721315,13800.878047943115,13050.54841041565
mps-uncap,1.3,278.5787105560304,40764.822244644165,22348.624658584595
mig,1.3,23083.39023590088,18800.65188407898,19321.66900634766
