mode,load,0_efficientnet_b7-16,1_densenet201-2,2_squeezenet1_0-4
mps-uncap,0.6,36.75699234008789,72.7165937423706,6.329536437988281
mig,0.6,111.25795841217042,43.60218048095702,7.65371322631836
mps-uncap,0.7,42.93990135192871,111.47060394287112,18.0300235748291
mig,0.7,191.7129993438721,66.42341613769531,9.408664703369139
mps-uncap,0.8,53.45807075500491,1536.8822813034055,16.85357093811035
mig,0.8,269.6528911590577,120.93646526336677,17.039585113525394
mps-uncap,0.9,64.42775726318358,9657.551407814026,41.329479217529304
mig,0.9,688.6386871337891,241.00568294525152,35.61756610870361
mps-uncap,1.0,92.74132251739509,13213.266372680664,678.6459445953373
mig,1.0,1615.547227859497,1634.8219633102417,2120.168876647949
mps-uncap,1.1,120.62675952911376,25611.788749694824,3754.81858253479
mig,1.1,8253.18443775177,8812.542629241943,7929.250478744508
mps-uncap,1.2,182.95633792877197,28132.86328315735,20764.62016105652
mig,1.2,11576.66850090027,13780.126571655273,13047.806000709534
mps-uncap,1.3,240.74468612670907,40742.40732192993,22346.356439590454
mig,1.3,23023.951292037964,18779.543161392212,19318.343377113342
