mode,load,0_efficientnet_b7-16,1_densenet201-2,2_squeezenet1_0-4
mps-uncap,0.6,42.5849437713623,35.059213638305664,6.172013282775882
mig,0.6,61.04430675506592,23.09111595153808,3.644924163818359
mps-uncap,0.7,41.84424877166747,29.519395828247067,7.02749252319336
mig,0.7,60.937209129333496,22.678918838500973,3.6545896530151367
mps-uncap,0.8,43.28678131103515,35.41356801986694,6.030011177062987
mig,0.8,61.17940425872803,22.468788623809818,3.616065979003906
mps-uncap,0.9,43.23492050170897,35.211348533630364,6.046664714813234
mig,0.9,61.16126060485839,22.263381481170658,3.6240696907043457
mps-uncap,1.0,42.25221633911133,29.7499418258667,6.884920597076414
mig,1.0,61.07535123825073,21.913275718688965,3.6090826988220215
mps-uncap,1.1,42.761917114257834,35.278515815734856,5.998373031616211
mig,1.1,61.09548807144166,22.080283164978027,3.5654020309448238
mps-uncap,1.2,41.621272563934326,30.017433166503903,6.950254440307617
mig,1.2,61.03416442871094,21.969556808471676,3.47506046295166
mps-uncap,1.3,41.72976493835449,34.87095832824706,6.098003387451173
mig,1.3,60.922837257385254,21.80541038513184,3.5148668289184566
