mode,load,0_efficientnet_b7-16,1_densenet201-2,2_squeezenet1_0-4
mps-uncap,0.6,40.131568908691406,31.7396879196167,3.8410425186157227
mig,0.6,60.353994369506836,21.704816818237305,3.2393932342529297
mps-uncap,0.7,40.08376598358154,28.49254608154297,4.479837417602537
mig,0.7,60.37940979003906,21.596574783325195,3.2196044921875
mps-uncap,0.8,40.88888168334961,32.89027214050293,4.361271858215332
mig,0.8,60.422658920288086,21.42019271850586,3.200435638427735
mps-uncap,0.9,40.4019832611084,33.023858070373535,4.421997070312501
mig,0.9,60.49389839172363,21.354317665100098,3.1843185424804688
mps-uncap,1.0,39.47494029998779,29.07586097717285,4.640150070190432
mig,1.0,60.38315296173096,21.24309539794922,3.1399488449096684
mps-uncap,1.1,39.84260559082031,33.524465560913086,4.666757583618166
mig,1.1,60.17887592315674,21.42467498779297,3.06239128112793
mps-uncap,1.2,38.883161544799805,29.329252243041992,5.96160888671875
mig,1.2,59.86354351043701,21.257638931274414,3.002166748046875
mps-uncap,1.3,39.0080451965332,33.811092376708984,5.194711685180665
mig,1.3,60.170650482177734,21.16985321044922,3.0977725982666016
