mode,load,0_efficientnet_b7-16,1_densenet201-2,2_squeezenet1_0-4
mps-uncap,0.6,0.01430511474609375,0.014066696166992188,0.011205673217773438
mig,0.6,0.014543533325195312,0.014543533325195312,0.010967254638671875
mps-uncap,0.7,0.015020370483398438,0.015020370483398438,0.010967254638671875
mig,0.7,0.015497207641601562,0.01239776611328125,0.011682510375976562
mps-uncap,0.8,0.014781951904296875,0.015974044799804688,0.010967254638671875
mig,0.8,0.015020370483398438,0.014543533325195312,0.011205673217773438
mps-uncap,0.9,0.0152587890625,0.019073486328125,0.011444091796875
mig,0.9,0.015497207641601562,0.014781951904296875,0.011920928955078125
mps-uncap,1.0,0.015497207641601562,0.03790855407714844,0.010967254638671875
mig,1.0,0.019073486328125,0.0152587890625,0.014543533325195312
mps-uncap,1.1,0.0152587890625,0.019073486328125,0.013589859008789062
mig,1.1,0.0171661376953125,0.019311904907226562,0.014781951904296875
mps-uncap,1.2,0.015020370483398438,0.019788742065429688,0.013589859008789062
mig,1.2,0.018835067749023438,0.02193450927734375,0.013828277587890625
mps-uncap,1.3,0.0152587890625,0.036716461181640625,0.013828277587890625
mig,1.3,0.0171661376953125,0.0152587890625,0.014543533325195312
