mode,load,0_efficientnet_b7-16,1_densenet201-2,2_squeezenet1_0-4
mps-uncap,0.6,129.41861152648926,197.00384140014648,36.7734432220459
mig,0.6,364.5510673522949,176.50961875915527,41.93615913391113
mps-uncap,0.7,159.93165969848633,286.6172790527344,61.931610107421875
mig,0.7,548.121452331543,226.8538475036621,31.421422958374023
mps-uncap,0.8,197.86882400512695,2156.083822250366,68.71652603149414
mig,0.8,717.6291942596436,316.68949127197266,56.57839775085449
mps-uncap,0.9,229.47025299072266,11098.01435470581,176.6664981842041
mig,0.9,1163.8576984405518,493.61371994018555,92.81039237976074
mps-uncap,1.0,309.0498447418213,14877.11501121521,1543.060302734375
mig,1.0,2534.8682403564453,2162.64009475708,2253.385305404663
mps-uncap,1.1,395.3425884246826,29244.009733200073,4584.938287734985
mig,1.1,9716.939210891724,9837.03351020813,8751.564979553223
mps-uncap,1.2,500.3814697265625,30278.358459472656,23502.51841545105
mig,1.2,13148.18286895752,16137.845277786255,14340.3902053833
mps-uncap,1.3,550.0781536102295,45203.57298851013,24281.92949295044
mig,1.3,24739.753246307373,20929.10146713257,21770.471572875977
