mode,load,0_densenet161-2,1_densenet201-2,2_resnet18-4
mps-uncap,0.8,6139.558553695679,6735.008716583252,1596.7695713043213
mps-uncap,0.9,8462.88514137268,8805.058121681213,4791.744232177734
mps-uncap,1.0,9865.575313568115,11867.419123649597,7312.941551208496
mps-uncap,0.5,33.58292579650879,59.27002429962158,3.5343170166015625
mps-uncap,0.6,73.9973783493042,259.97161865234375,4.8198699951171875
mps-uncap,0.7,2515.6627893447876,4716.834902763367,11.813163757324219
mps-uncap,0.1,19.14072036743164,23.015499114990234,4.33659553527832
mps-uncap,0.2,18.28932762145996,22.737979888916016,3.540515899658203
mps-uncap,0.3,18.58663558959961,23.51236343383789,2.598285675048828
mps-uncap,0.4,24.837493896484375,34.8590612411499,2.6662349700927734
