mode,load,0_alexnet-16,1_alexnet-2,2_efficientnet_b6-16
mps-uncap,0.8,50.185914039611774,11.243419647216799,322.8474855422975
mps-uncap,0.9,1194.8754429817204,16.96900606155396,1129.9239826202383
mps-uncap,1.0,8064.716548919679,1511.4210319519043,565.5349874496457
mps-uncap,0.5,10.840868949890131,5.221652984619136,60.84537982940682
mps-uncap,0.6,12.211651802062994,6.8533802032470605,95.311336517334
mps-uncap,0.7,22.345275878906175,7.828876972198487,119.41775321960452
mps-uncap,0.1,2.954540252685544,1.357650756835937,16.243228912353587
mps-uncap,0.2,4.752893447875976,1.8904876708984357,26.458821296691898
mps-uncap,0.3,6.455240249633799,2.458069324493398,25.768103599548343
mps-uncap,0.4,7.968831062316873,4.192066192626949,50.331430435180664
