mode,load,0_alexnet-16,1_alexnet-2,2_efficientnet_b6-16
mps-uncap,0.8,3.9602041244506836,2.367734909057617,37.746620178222656
mps-uncap,0.9,3.9665699005126953,2.4712085723876953,38.75274658203125
mps-uncap,1.0,4.149532318115234,2.9113292694091797,36.49342060089111
mps-uncap,0.5,3.7817955017089857,2.339315414428711,30.864667892456055
mps-uncap,0.6,3.6018848419189453,2.438068389892578,33.67042541503906
mps-uncap,0.7,3.7815093994140625,2.239227294921875,35.75267791748047
mps-uncap,0.1,3.6221981048583984,1.6510486602783203,34.969663619995124
mps-uncap,0.2,3.5722255706787114,1.8151283264160158,30.971193313598633
mps-uncap,0.3,3.6054134368896484,1.8193483352661142,29.524993896484375
mps-uncap,0.4,3.708744049072266,2.195596694946289,28.793048858642578
