mode,load,0_alexnet-16,1_alexnet-2,2_efficientnet_b6-16
mps-uncap,0.8,4734.715005322967,815.9754014738159,346.61224496067535
mps-uncap,0.9,5315.388843156265,921.6552080483954,397.98791526729826
mps-uncap,1.0,5110.867081394757,1002.1703913076889,421.2588764284557
mps-uncap,0.5,2956.5272100471857,518.212204399937,210.50081924427022
mps-uncap,0.6,3493.12666579263,618.2966424645404,258.438653502281
mps-uncap,0.7,4108.50459288738,725.2238359806986,280.99853464082366
mps-uncap,0.1,586.0413586650562,105.47226334254597,40.104906632953245
mps-uncap,0.2,1190.7324644424784,205.60917295084425,80.0931462066432
mps-uncap,0.3,1745.0430015452985,312.4760447372126,122.4018298540229
mps-uncap,0.4,2352.765679127676,411.12683866233607,176.5299804864008
