mode,load,0_alexnet-16,1_alexnet-2,2_efficientnet_b6-16
mps-uncap,0.8,6.138205528259277,0.8224248886108398,37.88161277770996
mps-uncap,0.9,569.0314769744873,2.148151397705078,158.97130966186523
mps-uncap,1.0,3131.596326828003,229.6619415283203,117.07711219787598
mps-uncap,0.5,0.026941299438476562,0.024080276489257812,0.029325485229492188
mps-uncap,0.6,0.5807876586914062,0.025987625122070312,0.040531158447265625
mps-uncap,0.7,1.7638206481933594,0.110626220703125,9.462356567382812
mps-uncap,0.1,0.03170967102050781,0.0400543212890625,0.04291534423828125
mps-uncap,0.2,0.026941299438476562,0.026702880859375,0.041961669921875
mps-uncap,0.3,0.02765655517578125,0.025987625122070312,0.033020973205566406
mps-uncap,0.4,0.026702880859375,0.026226043701171875,0.03147125244140625
