mode,load,0_alexnet-16,1_alexnet-2,2_efficientnet_b6-16
mps-uncap,0.8,53.16737651824945,12.99844741821289,359.60332393646246
mps-uncap,0.9,1197.302794456482,18.5680651664734,1168.999183177947
mps-uncap,1.0,8068.2058000564575,1513.5921382904053,601.257915496826
mps-uncap,0.5,13.966417312622069,7.283515930175774,86.89038753509527
mps-uncap,0.6,15.042905807495119,8.835382461547848,122.34307289123537
mps-uncap,0.7,24.896841049194265,9.381518363952635,151.14915847778335
mps-uncap,0.1,6.352338790893553,3.0912280082702592,43.86381149291993
mps-uncap,0.2,7.895898818969726,3.837757110595703,50.79482078552246
mps-uncap,0.3,9.861164093017583,4.3892455101013015,50.997970104217536
mps-uncap,0.4,11.170802116394038,6.241202354431141,75.6070613861084
