mode,load,0_alexnet-16,1_alexnet-2,2_efficientnet_b6-16
mps-uncap,0.8,13.852357864379883,4.415988922119141,45.53556442260742
mps-uncap,0.9,13.214111328125,11.126279830932617,47.24240303039551
mps-uncap,1.0,14.169454574584961,12.911558151245117,43.51544380187988
mps-uncap,0.5,8.539676666259766,5.292177200317383,37.37068176269531
mps-uncap,0.6,9.030580520629883,4.90260124206543,40.24910926818848
mps-uncap,0.7,16.65043830871582,15.214204788208008,39.80851173400879
mps-uncap,0.1,8.330821990966797,7.968425750732422,42.75679588317871
mps-uncap,0.2,9.272098541259766,14.255046844482422,41.01133346557617
mps-uncap,0.3,8.898019790649414,7.665395736694336,34.05261039733887
mps-uncap,0.4,17.342805862426758,12.184381484985352,33.184051513671875
