mode,load,0_alexnet-16,1_alexnet-2,2_efficientnet_b6-16
mps-uncap,0.8,29.511427879333485,6.786322593688964,202.54719257354736
mps-uncap,0.9,1121.5242862701418,10.137271881103514,785.5227470397955
mps-uncap,1.0,7036.135196685791,1333.1390380859375,378.03418636322033
mps-uncap,0.5,7.397603988647462,3.5308361053466797,51.36919021606445
mps-uncap,0.6,8.3251953125,4.649114608764649,72.24240303039552
mps-uncap,0.7,13.184833526611328,4.97746467590332,99.30996894836426
mps-uncap,0.1,4.143190383911133,2.0265579223632812,35.38413047790528
mps-uncap,0.2,4.82907295227051,2.3459434509277344,32.2321891784668
mps-uncap,0.3,5.380153656005859,2.4765491485595725,33.00185203552246
mps-uncap,0.4,6.266641616821289,3.141140937805176,45.905876159667976
