mode,load,0_alexnet-16,1_alexnet-2,2_efficientnet_b6-16
mps-uncap,0.8,2.786397933959961,1.5047788619995117,35.28130054473877
mps-uncap,0.9,2.8864145278930664,1.6181468963623047,37.16886043548584
mps-uncap,1.0,2.9675960540771484,1.8360614776611328,35.474538803100586
mps-uncap,0.5,2.156972885131836,1.312255859375,26.798725128173828
mps-uncap,0.6,2.3429393768310547,1.3134479522705078,29.44004535675049
mps-uncap,0.7,2.532482147216797,1.3148784637451172,32.0894718170166
mps-uncap,0.1,2.8302669525146484,1.4507770538330078,31.595706939697266
mps-uncap,0.2,2.7611255645751953,1.3573169708251953,23.973941802978516
mps-uncap,0.3,2.707242965698242,1.349329948425293,25.081396102905273
mps-uncap,0.4,2.5812387466430664,1.3521909713745117,25.42257308959961
