mode,load,0_alexnet-16,1_alexnet-2,2_efficientnet_b6-16
mps-uncap,0.8,72.27087020874023,20.58100700378418,381.1001777648926
mps-uncap,0.9,1260.913610458374,28.73539924621582,1281.742811203003
mps-uncap,1.0,8155.518054962158,1548.691749572754,621.6320991516113
mps-uncap,0.5,17.8225040435791,11.545419692993164,113.41428756713867
mps-uncap,0.6,20.740032196044922,13.656139373779297,136.20710372924805
mps-uncap,0.7,45.352935791015625,14.255762100219727,157.0584774017334
mps-uncap,0.1,5.3119659423828125,2.6786327362060547,29.097318649291992
mps-uncap,0.2,9.798765182495117,8.093118667602539,44.237613677978516
mps-uncap,0.3,12.70604133605957,7.638692855834961,36.691904067993164
mps-uncap,0.4,15.746116638183594,9.662389755249023,71.9146728515625
