mode,load,0_efficientnet_b7-32,1_mobilenet_v2-2,2_vgg19-8
mps-uncap,1.0,101.82663440704346,23.640522956848137,20.449516773223877
mig,1.0,112.4524712562561,4.286587238311768,23.176755905151367
