mode,load,0_mobilenet_v3_small-16,1_mobilenet_v3_small-32,2_vgg13-8
mps-uncap,0.8,1436.7121927378207,2611.3164846969385,1109.7233639635463
mps-uncap,0.9,1585.282634480899,2818.324095508649,1266.5581847688582
mps-uncap,1.0,1590.0850956130614,3036.3846603065667,1261.8722101448332
mps-uncap,0.5,872.9821731409688,1696.9302582127696,683.3995329452138
mps-uncap,0.6,1045.9687374404643,1996.002114434935,826.0705540043556
mps-uncap,0.7,1207.953898880112,2335.492259679685,972.5166186820682
mps-uncap,0.1,167.68288369791674,325.0132918551168,137.7302531200508
mps-uncap,0.2,344.4046218222755,679.7329492412721,270.5111409018356
mps-uncap,0.3,532.5854488470135,1016.6927739053981,411.2903259315112
mps-uncap,0.4,698.1599623199337,1326.3824776983015,550.4679101669198
