mode,load,0_mobilenet_v3_small-16,1_mobilenet_v3_small-32,2_vgg13-8
mps-uncap,0.8,12.925472259521484,13.694038391113276,7.916531562805171
mps-uncap,0.9,10.339317321777346,13.277039527893068,7.831618785858155
mps-uncap,1.0,12.163519859313965,12.097368240356445,7.667675018310547
mps-uncap,0.5,11.88920736312866,13.035621643066406,7.70578145980835
mps-uncap,0.6,12.469139099121094,13.225007057189943,7.845594882965077
mps-uncap,0.7,12.680420875549316,13.520288467407218,7.726092338562019
mps-uncap,0.1,11.037116050720215,12.643575668334963,8.473176956176754
mps-uncap,0.2,11.242702007293692,12.115736007690428,7.645368576049805
mps-uncap,0.3,10.864026546478271,13.590946197509778,7.965111732482912
mps-uncap,0.4,10.784065723419184,14.527871608734133,7.920169830322264
