mode,load,0_mobilenet_v3_small-16,1_mobilenet_v3_small-32,2_vgg13-8
mps-uncap,0.8,0.0095367431640625,0.011682510375976562,0.0095367431640625
mps-uncap,0.9,0.009775161743164062,0.016689300537109375,0.011920928955078125
mps-uncap,1.0,0.011920928955078125,0.012636184692382812,0.011682510375976562
mps-uncap,0.5,0.011682510375976562,0.009775161743164062,0.010013580322265625
mps-uncap,0.6,0.011682510375976562,0.010013580322265625,0.0095367431640625
mps-uncap,0.7,0.009775161743164062,0.0095367431640625,0.009298324584960938
mps-uncap,0.1,0.014781951904296875,0.016927719116210938,0.013589859008789062
mps-uncap,0.2,0.014066696166992188,0.014781951904296875,0.013113021850585938
mps-uncap,0.3,0.011444091796875,0.012159347534179688,0.010728836059570312
mps-uncap,0.4,0.011444091796875,0.011444091796875,0.009298324584960938
