mode,load,0_mobilenet_v3_small-16,1_mobilenet_v3_small-32,2_vgg13-8
mps-uncap,0.8,83.90753746032715,90.37126541137695,96.73196792602526
mps-uncap,0.9,184.50038909912115,4170.65896511078,705.7185792922975
mps-uncap,1.0,5750.163018703461,6221.603622436523,4780.59935092926
mps-uncap,0.5,24.39867258071899,25.8884334564209,24.838795661926273
mps-uncap,0.6,32.39258289337158,32.887625694274924,34.57276821136469
mps-uncap,0.7,45.731360912323,46.80788040161106,49.946522712707534
mps-uncap,0.1,17.6593279838562,18.88170242309571,12.404558658599846
mps-uncap,0.2,21.79777145385742,22.434830665588375,13.487815856933594
mps-uncap,0.3,24.343369007110596,24.073839187622074,15.411162376403821
mps-uncap,0.4,23.227629661560055,26.371071338653568,19.660425186157223
