mode,load,0_mobilenet_v3_small-16,1_mobilenet_v3_small-32,2_vgg13-8
mps-uncap,0.8,15.040397644042969,16.313552856445312,10.405540466308594
mps-uncap,0.9,11.14344596862793,14.266490936279297,8.420944213867188
mps-uncap,1.0,13.07058334350586,15.20538330078125,8.588790893554688
mps-uncap,0.5,15.497207641601562,15.372991561889648,10.988712310791016
mps-uncap,0.6,14.812946319580078,15.825033187866211,10.51640510559082
mps-uncap,0.7,14.676570892333984,16.135692596435547,10.089635848999023
mps-uncap,0.1,13.323068618774414,17.418622970581055,10.826587677001953
mps-uncap,0.2,14.190196990966797,14.723539352416992,9.765148162841797
mps-uncap,0.3,12.375593185424805,16.08562469482422,10.897636413574219
mps-uncap,0.4,14.436960220336914,16.85786247253418,10.999441146850586
