mode,load,0_mobilenet_v3_small-16,1_mobilenet_v3_small-32,2_vgg13-8
mps-uncap,0.8,4.07862663269043,4.084348678588867,4.832029342651367
mps-uncap,0.9,4.07099723815918,4.212856292724609,4.867792129516602
mps-uncap,1.0,4.1103363037109375,4.224061965942383,4.912376403808594
mps-uncap,0.5,4.090547561645508,4.139423370361328,4.820585250854492
mps-uncap,0.6,4.099369049072266,4.07862663269043,4.807233810424805
mps-uncap,0.7,4.130363464355469,4.160881042480469,4.81867790222168
mps-uncap,0.1,5.640745162963867,4.825592041015625,4.8065185546875
mps-uncap,0.2,4.471778869628906,4.119873046875,4.8046112060546875
mps-uncap,0.3,4.023075103759766,4.146814346313477,4.788875579833984
mps-uncap,0.4,3.9844512939453125,4.011631011962891,4.807949066162109
