mode,load,0_mobilenet_v3_small-16,1_mobilenet_v3_small-32,2_vgg13-8
mps-uncap,0.8,101.03988647460938,110.85176467895508,133.67772102355957
mps-uncap,0.9,230.64780235290527,4281.358957290649,731.886625289917
mps-uncap,1.0,5812.186002731323,6261.660099029541,4862.968444824219
mps-uncap,0.5,34.48367118835449,37.72735595703125,31.77666664123535
mps-uncap,0.6,49.36647415161133,53.89881134033203,45.6395149230957
mps-uncap,0.7,60.204267501831055,71.47884368896484,63.13061714172363
mps-uncap,0.1,17.007112503051758,21.344423294067383,11.835336685180664
mps-uncap,0.2,21.756649017333984,22.7200984954834,13.957023620605469
mps-uncap,0.3,25.302886962890625,26.507854461669922,21.399259567260742
mps-uncap,0.4,26.97587013244629,33.416032791137695,26.286602020263672
