mode,load,0_efficientnet_b6-8,1_mobilenet_v2-2,2_resnet50-2
mps-uncap,1.0,31.85129165649414,16.587495803833008,17.89093017578125
mig,1.0,35.52365303039551,14.55378532409668,18.4023380279541
