mode,load,0_densenet201-8,1_resnet152-16,2_resnet34-16
mps-uncap,0.8,22.695541381835938,21.244525909423828,6.447792053222656
mps-uncap,0.9,25.652170181274414,23.586153984069824,7.349491119384766
mps-uncap,1.0,32.456278800964355,26.650667190551758,7.87806510925293
mps-uncap,0.5,17.220258712768555,17.12024211883545,4.914045333862305
mps-uncap,0.6,17.30191707611084,18.259048461914062,5.250096321105957
mps-uncap,0.7,18.36395263671875,19.390344619750977,5.538463592529297
mps-uncap,0.1,27.377009391784668,17.71998405456543,4.9877166748046875
mps-uncap,0.2,21.032214164733887,17.949938774108887,5.003452301025391
mps-uncap,0.3,21.117568016052246,17.52948760986328,4.92548942565918
mps-uncap,0.4,19.430875778198242,17.16017723083496,5.058765411376953
