mode,load,0_densenet169-32,1_resnet101-4,2_resnet34-2
mps-uncap,0.8,97.95534610748291,38.925886154174805,9.28795337677002
mps-uncap,0.9,543.4274673461914,65.83309173583984,256.9756507873535
mps-uncap,1.0,809.7695112228394,6293.884038925171,4197.618246078491
mps-uncap,0.5,30.982255935668945,14.551758766174316,5.968570709228516
mps-uncap,0.6,35.73405742645264,16.870975494384766,6.299734115600586
mps-uncap,0.7,56.545257568359375,21.72374725341797,7.017254829406738
mps-uncap,0.1,28.81312370300293,19.089579582214355,7.7561140060424805
mps-uncap,0.2,26.019811630249023,16.03555679321289,7.57288932800293
mps-uncap,0.3,28.98991107940674,12.67862319946289,6.651401519775391
mps-uncap,0.4,29.776811599731445,12.120723724365234,6.0433149337768555
