mode,load,0_densenet161-16,1_densenet169-8,2_vgg11-16
mps-uncap,0.8,359.598274230957,228.06058883666952,103.45578193664552
mps-uncap,0.9,960.6418156623838,400.9196615219116,270.5272340774536
mps-uncap,1.0,7159.741959571838,1154.5161724090576,5428.936772346497
mps-uncap,0.5,95.79376220703115,65.17459630966175,38.112556934356675
mps-uncap,0.6,139.98107433319086,110.5346274375913,43.90692710876467
mps-uncap,0.7,170.17594337463342,151.19934558868405,72.80888557434078
mps-uncap,0.1,53.16449165344237,54.19763565063477,17.46828794479371
mps-uncap,0.2,49.3964672088623,47.10060119628906,18.062400817871097
mps-uncap,0.3,59.88679170608541,48.04866075515746,23.122656345367417
mps-uncap,0.4,77.45359659194942,58.223395347595144,26.79584503173827
