mode,load,0_resnet34-16,1_vgg19-2,2_vgg19-8
mps-uncap,0.8,751.6870122333638,189.4109731394288,658.3352366638541
mps-uncap,0.9,845.1362104099419,204.85290706939202,759.5104055779316
mps-uncap,1.0,925.2620212209548,236.5610336629127,857.9857441819191
mps-uncap,0.5,485.3649963017688,113.07104856008068,413.11170998643496
mps-uncap,0.6,553.9561848076665,132.77269987408573,497.65613148994294
mps-uncap,0.7,670.8500366778351,162.9444375671307,585.7156625897396
mps-uncap,0.1,94.6156457623169,22.099086535959675,85.07740872352792
mps-uncap,0.2,176.32009395426812,46.59013863397987,166.11104819446138
mps-uncap,0.3,271.27973411598924,69.0961245073665,242.3348417862779
mps-uncap,0.4,372.3831592289527,92.26677615713402,333.65145319430235
