mode,load,0_alexnet-4,1_mobilenet_v3_large-8,2_squeezenet1_1-2
mps-uncap,0.8,1.3089179992675781,5.171060562133789,2.034425735473633
mps-uncap,0.9,1.2149810791015625,5.114650726318359,2.00653076171875
mps-uncap,1.0,1.1286735534667969,4.9953460693359375,1.996755599975586
mps-uncap,0.5,1.5710115432739256,5.20014762878418,2.3899078369140625
mps-uncap,0.6,1.5206336975097656,5.196094512939453,1.9833326339721682
mps-uncap,0.7,1.4536380767822266,5.216813087463379,1.943349838256836
mps-uncap,0.1,1.4716625213623047,11.6119384765625,3.951549530029297
mps-uncap,0.2,1.4672279357910156,9.383058547973633,3.673505783081055
mps-uncap,0.3,1.4944076538085938,6.8456411361694345,3.114461898803711
mps-uncap,0.4,1.5938282012939453,5.612373352050781,2.3081302642822266
