mode,load,0_alexnet-4,1_mobilenet_v3_large-8,2_squeezenet1_1-2
mps-uncap,0.8,2.801179885864258,9.874582290649414,3.6644935607910156
mps-uncap,0.9,2.7980804443359375,13.152599334716797,7.237434387207031
mps-uncap,1.0,2.6397705078125,13.297319412231445,10.06174087524414
mps-uncap,0.5,3.3414363861083984,7.564783096313477,4.341363906860352
mps-uncap,0.6,3.010272979736328,7.408857345581055,3.6766529083251953
mps-uncap,0.7,3.366231918334961,7.042407989501953,3.6017894744873047
mps-uncap,0.1,5.866765975952148,14.788150787353516,7.40814208984375
mps-uncap,0.2,6.485462188720703,12.607574462890625,7.2078704833984375
mps-uncap,0.3,6.693363189697266,10.631084442138672,7.001399993896484
mps-uncap,0.4,6.502389907836914,9.986400604248047,6.725788116455078
