mode,load,0_alexnet-4,1_mobilenet_v3_large-8,2_squeezenet1_1-2
mps-uncap,0.8,16.90840721130371,9966.735363006592,211.4717960357666
mps-uncap,0.9,34.55662727355957,15784.077405929565,4726.9792556762695
mps-uncap,1.0,93.3992862701416,19767.932653427124,10375.36096572876
mps-uncap,0.5,16.031265258789062,66.26677513122559,20.56884765625
mps-uncap,0.6,16.639232635498047,211.16399765014648,16.789913177490234
mps-uncap,0.7,28.651952743530273,3083.6007595062256,35.1870059967041
mps-uncap,0.1,3.537893295288086,28.223037719726562,12.66622543334961
mps-uncap,0.2,6.383657455444336,35.669803619384766,14.63174819946289
mps-uncap,0.3,6.793022155761719,31.50010108947754,15.17343521118164
mps-uncap,0.4,10.722160339355469,37.60027885437012,13.157844543457031
