mode,load,0_alexnet-4,1_mobilenet_v3_large-8,2_squeezenet1_1-2
mps-uncap,0.8,2.579808235168457,5226.935863494873,43.557167053222656
mps-uncap,0.9,3.823995590209961,7961.819529533386,2367.989420890808
mps-uncap,1.0,22.461295127868652,9860.661149024963,5162.463188171387
mps-uncap,0.5,1.5511512756347656,9.654998779296875,2.9795169830322266
mps-uncap,0.6,1.6524791717529297,21.495938301086426,3.281831741333008
mps-uncap,0.7,2.0689964294433594,1855.1572561264038,4.86147403717041
mps-uncap,0.1,1.3968944549560547,11.033296585083008,3.8862228393554688
mps-uncap,0.2,1.2974739074707031,8.709907531738281,3.3719539642333984
mps-uncap,0.3,1.3692378997802734,6.794929504394531,2.9702186584472656
mps-uncap,0.4,1.495361328125,7.5637102127075195,2.435445785522461
