mode,load,0_alexnet-4,1_mobilenet_v3_large-8,2_squeezenet1_1-2
mps-uncap,0.8,0.7731914520263672,5.245208740234375,1.7077922821044922
mps-uncap,0.9,0.7967948913574219,5.108356475830078,1.7659664154052734
mps-uncap,1.0,0.8566379547119141,5.089998245239258,1.7333030700683594
mps-uncap,0.5,0.7534027099609375,4.844427108764648,1.7132759094238281
mps-uncap,0.6,0.7588863372802734,4.866123199462891,1.6813278198242188
mps-uncap,0.7,0.7898807525634766,5.047321319580078,1.6856193542480469
mps-uncap,0.1,1.02996826171875,5.002260208129883,1.8398761749267578
mps-uncap,0.2,1.0199546813964844,5.014896392822266,1.752614974975586
mps-uncap,0.3,0.7672309875488281,4.787445068359375,1.705169677734375
mps-uncap,0.4,0.7536411285400391,4.8999786376953125,1.6872882843017578
