mode,load,0_alexnet-4,1_mobilenet_v3_large-8,2_squeezenet1_1-2
mps-uncap,0.8,3123.303582360213,1582.2273340303848,1050.7633297547313
mps-uncap,0.9,3438.830983016138,1596.2407939846016,1072.436149751504
mps-uncap,1.0,3924.194705840483,1621.239513899317,1083.0093410627728
mps-uncap,0.5,1957.0370441237567,1182.1787791756992,645.9147310740512
mps-uncap,0.6,2369.8321804256325,1454.634769893542,785.8836944406731
mps-uncap,0.7,2825.9123547000736,1575.7728412840954,929.2654385536196
mps-uncap,0.1,408.18746860500204,238.32527636237393,136.20515845439243
mps-uncap,0.2,800.5546220859236,470.5872742994757,267.292122379498
mps-uncap,0.3,1197.9232871605627,712.3307015174545,399.3466772817255
mps-uncap,0.4,1588.4067349191987,944.9802061572941,525.5950696674242
