mode,load,0_alexnet-4,1_mobilenet_v3_large-8,2_squeezenet1_1-2
mps-uncap,0.8,0.7622241973876953,4.892110824584961,1.6744136810302734
mps-uncap,0.9,0.7843971252441406,4.843235015869141,1.6617774963378906
mps-uncap,1.0,0.7965564727783203,4.801034927368164,1.6388893127441406
mps-uncap,0.5,0.7390975952148438,4.790782928466797,1.6863346099853516
mps-uncap,0.6,0.7410049438476562,4.807233810424805,1.657247543334961
mps-uncap,0.7,0.7774829864501953,4.868268966674805,1.6548633575439453
mps-uncap,0.1,1.0132789611816406,4.96983528137207,1.7249584197998047
mps-uncap,0.2,1.0035037994384766,4.975795745849609,1.7218589782714844
mps-uncap,0.3,0.7450580596923828,4.733562469482422,1.6696453094482422
mps-uncap,0.4,0.7364749908447266,4.855871200561523,1.6717910766601562
