mode,load,0_alexnet-4,1_mobilenet_v3_large-8,2_squeezenet1_1-2
mps-uncap,0.8,0.9694099426269531,5.019426345825195,1.8074512481689453
mps-uncap,0.9,0.9677410125732422,4.974603652954102,1.8124580383300781
mps-uncap,1.0,0.9758472442626953,4.911661148071289,1.8148422241210938
mps-uncap,0.5,1.0976791381835938,4.999399185180664,1.8587112426757812
mps-uncap,0.6,0.9644031524658203,4.96220588684082,1.7693042755126953
mps-uncap,0.7,0.9515285491943359,5.025506019592285,1.7642974853515625
mps-uncap,0.1,1.3566017150878906,9.872674942016602,3.7665367126464844
mps-uncap,0.2,1.2297630310058594,6.663084030151367,2.9931068420410156
mps-uncap,0.3,1.2331008911132812,4.98199462890625,2.1224021911621094
mps-uncap,0.4,1.1663436889648438,5.082130432128906,1.8231868743896484
