mode,load,0_alexnet-4,1_mobilenet_v3_large-8,2_squeezenet1_1-2
mps-uncap,0.8,11.730482578277588,9793.971300125122,190.14804840087874
mps-uncap,0.9,22.891550064086914,15597.903366088867,4641.249032020569
mps-uncap,1.0,81.69697284698486,19602.96909332275,10281.574659347538
mps-uncap,0.5,7.139708995819091,40.81335067749024,12.970066070556689
mps-uncap,0.6,9.887528419494616,146.62849187850975,13.12795400619507
mps-uncap,0.7,15.459942817687988,3018.75248670578,24.097452163696293
mps-uncap,0.1,3.1010437011718763,26.742472648620602,10.0278639793396
mps-uncap,0.2,3.591966629028322,27.115294933319092,11.605739593505836
mps-uncap,0.3,4.825427532196051,23.287656307220466,9.60197448730465
mps-uncap,0.4,6.311979293823241,28.717572689056357,8.14234256744385
