mode,load,0_squeezenet1_0-16,1_vgg11-8,2_vgg13-4
mps-uncap,0.8,1190.978243625315,993.9762968867699,417.15594401597525
mps-uncap,0.9,1362.3996287406787,1138.1345459251177,474.9976784835904
mps-uncap,1.0,1376.3019998035247,1175.9634413457086,492.9693913951537
mps-uncap,0.5,750.9985967917903,624.3339850964105,261.5571091182717
mps-uncap,0.6,909.0506758423771,764.3631096384362,317.4400548578834
mps-uncap,0.7,1042.4885736641174,871.0666376675664,372.751874197114
mps-uncap,0.1,146.81205022798838,118.48526631714033,50.294049104592645
mps-uncap,0.2,294.35134653866004,261.3641421197119,105.52190027902165
mps-uncap,0.3,450.45942902521756,370.2772402065107,162.76738385106242
mps-uncap,0.4,602.5611356392628,495.2835139867276,209.81256353933577
