mode,load,0_squeezenet1_0-16,1_vgg11-8,2_vgg13-4
mps-uncap,0.8,13.527274131774902,10.652303695678711,9.333372116088867
mps-uncap,0.9,60.35614013671875,78.30643653869629,27.501583099365234
mps-uncap,1.0,2992.8271770477295,2199.9553442001343,2120.026111602783
mps-uncap,0.5,7.068514823913574,5.573153495788574,4.60505485534668
mps-uncap,0.6,8.348345756530762,6.577253341674805,5.587935447692871
mps-uncap,0.7,10.20967960357666,7.554769515991211,6.8378448486328125
mps-uncap,0.1,4.7206878662109375,4.27556037902832,3.081083297729492
mps-uncap,0.2,4.8073530197143555,4.312992095947266,3.1616687774658203
mps-uncap,0.3,4.782676696777344,4.225015640258789,3.0279159545898438
mps-uncap,0.4,6.186962127685547,5.064964294433594,3.962874412536621
