mode,load,0_squeezenet1_0-16,1_vgg11-8,2_vgg13-4
mps-uncap,0.8,0.0095367431640625,0.009298324584960938,0.009298324584960938
mps-uncap,0.9,0.011920928955078125,0.010967254638671875,0.009298324584960938
mps-uncap,1.0,0.011444091796875,0.012159347534179688,0.012159347534179688
mps-uncap,0.5,0.010728836059570312,0.010967254638671875,0.010967254638671875
mps-uncap,0.6,0.009298324584960938,0.0095367431640625,0.010251998901367188
mps-uncap,0.7,0.009775161743164062,0.009298324584960938,0.009059906005859375
mps-uncap,0.1,0.020265579223632812,0.024080276489257812,0.017404556274414062
mps-uncap,0.2,0.014066696166992188,0.011682510375976562,0.012636184692382812
mps-uncap,0.3,0.018835067749023438,0.013589859008789062,0.013828277587890625
mps-uncap,0.4,0.011920928955078125,0.011444091796875,0.013589859008789062
