mode,load,0_mobilenet_v3_small-16,1_squeezenet1_0-16,2_vgg19-8
mps-uncap,0.8,183.35318565368652,96.95959091186523,123.34370613098145
mps-uncap,0.9,793.8885688781738,220.80087661743164,586.7643356323242
mps-uncap,1.0,10708.786725997925,886.1267566680908,5444.135904312134
mps-uncap,0.5,51.01418495178223,43.593645095825195,48.57611656188965
mps-uncap,0.6,56.4265251159668,73.0123519897461,69.57125663757324
mps-uncap,0.7,61.387062072753906,70.10269165039062,77.66413688659668
mps-uncap,0.1,26.519298553466797,18.067121505737305,20.832538604736328
mps-uncap,0.2,33.20503234863281,25.882482528686523,30.200958251953125
mps-uncap,0.3,32.92489051818848,25.408506393432617,28.878450393676758
mps-uncap,0.4,37.38975524902344,28.168916702270508,40.88330268859863
