mode,load,0_mobilenet_v3_small-16,1_squeezenet1_0-16,2_vgg19-8
mps-uncap,0.8,1261.924861084035,1500.5249572210255,704.9215882729318
mps-uncap,0.9,1479.9935430689588,1639.6851033537203,766.2878588916366
mps-uncap,1.0,1360.1439270800583,1816.3982158220874,783.8379943503345
mps-uncap,0.5,834.162131545431,900.9554943492827,428.4218964021185
mps-uncap,0.6,991.5684088371088,1136.8664478256753,519.9488826480961
mps-uncap,0.7,1143.9358384541972,1286.8673064728084,575.9629425407104
mps-uncap,0.1,154.45462664733677,188.5940592163451,87.4286328170944
mps-uncap,0.2,315.90842464854677,357.72107057455156,179.68735332575716
mps-uncap,0.3,480.06380517821106,567.1138197257303,252.78756911891244
mps-uncap,0.4,624.7244821768321,734.2600736033431,346.52674064933876
