mode,load,0_mobilenet_v3_small-16,1_squeezenet1_0-16,2_vgg19-8
mps-uncap,0.8,118.4986019134521,66.23612165451048,101.84526443481445
mps-uncap,0.9,731.4670085906988,155.9497857093809,506.2315177917478
mps-uncap,1.0,10602.310590744019,842.8114891052243,5301.503858566284
mps-uncap,0.5,26.321530342102037,23.822355270385778,32.818102836608894
mps-uncap,0.6,34.321177005767815,33.51491689682007,42.90837764739991
mps-uncap,0.7,39.61181640625,38.287258148193324,48.814771175384514
mps-uncap,0.1,16.662235260009727,12.136316299438478,16.577730178833008
mps-uncap,0.2,20.9017515182495,14.162795543670658,19.608540534973145
mps-uncap,0.3,24.974620342254678,18.535394668579116,21.990909576416023
mps-uncap,0.4,24.795346260070797,18.12621116638184,27.04590797424316
